Uniformization
Time	2ServersUp	1ServerUp	BothDown	Up	Down	
0	1	0	0	1	0	
0.1	0.99969747	0.0003025	0.00000002	0.9996975	0.00000002	
0.2	0.99939504	0.00060487	0.00000009	0.99939513	0.00000009	
0.3	0.9990927	0.0009071	0.00000021	0.9990929	0.00000021	
0.4	0.99879044	0.00120919	0.00000037	0.99879081	0.00000037	
0.5	0.99848828	0.00151114	0.00000057	0.99848886	0.00000057	
0.6	0.99818622	0.00181296	0.00000082	0.99818704	0.00000082	
0.7	0.99788424	0.00211464	0.00000112	0.99788536	0.00000112	
0.8	0.99758235	0.00241618	0.00000146	0.99758382	0.00000146	
0.9	0.99728056	0.00271759	0.00000185	0.99728241	0.00000185	
1	0.99697885	0.00301886	0.00000229	0.99698114	0.00000229	
1.1	0.99667724	0.00331999	0.00000276	0.99668001	0.00000276	
1.2	0.99637572	0.00362099	0.00000329	0.99637901	0.00000329	
1.3	0.99607429	0.00392185	0.00000386	0.99607815	0.00000386	
1.4	0.99577295	0.00422257	0.00000448	0.99577743	0.00000448	
1.5	0.99547171	0.00452316	0.00000514	0.99547684	0.00000514	
1.6	0.99517055	0.00482361	0.00000585	0.99517639	0.00000585	
1.7	0.99486948	0.00512392	0.0000066	0.99487608	0.0000066	
1.8	0.99456851	0.00542409	0.0000074	0.99457591	0.0000074	
1.9	0.99426763	0.00572413	0.00000824	0.99427587	0.00000824	
2	0.99396684	0.00602404	0.00000913	0.99397596	0.00000913	
2.1	0.99366613	0.0063238	0.00001006	0.9936762	0.00001006	
2.2	0.99336553	0.00662343	0.00001104	0.99337657	0.00001104	
2.3	0.99306501	0.00692293	0.00001207	0.99307707	0.00001207	
2.4	0.99276458	0.00722229	0.00001314	0.99277771	0.00001314	
2.5	0.99246424	0.00752151	0.00001425	0.99247849	0.00001425	
2.6	0.99216399	0.00782059	0.00001541	0.99217941	0.00001541	
2.7	0.99186384	0.00811954	0.00001662	0.99188046	0.00001662	
2.8	0.99156377	0.00841836	0.00001787	0.99158164	0.00001787	
2.9	0.9912638	0.00871704	0.00001916	0.99128296	0.00001916	
3	0.99096392	0.00901558	0.00002051	0.99098442	0.00002051	
3.1	0.99066412	0.00931398	0.00002189	0.99068602	0.00002189	
3.2	0.99036442	0.00961225	0.00002332	0.99038775	0.00002332	
3.3	0.99006481	0.00991039	0.0000248	0.99008961	0.0000248	
3.4	0.98976529	0.01020839	0.00002632	0.98979161	0.00002632	
3.5	0.98946586	0.01050625	0.00002789	0.98949375	0.00002789	
3.6	0.98916652	0.01080398	0.0000295	0.98919602	0.0000295	
3.7	0.98886727	0.01110157	0.00003116	0.98889843	0.00003116	
3.8	0.98856812	0.01139902	0.00003286	0.98860098	0.00003286	
3.9	0.98826905	0.01169634	0.00003461	0.98830366	0.00003461	
4	0.98797007	0.01199353	0.0000364	0.98800647	0.0000364	
4.1	0.98767118	0.01229058	0.00003824	0.98770942	0.00003824	
4.2	0.98737239	0.01258749	0.00004012	0.98741251	0.00004012	
4.3	0.98707368	0.01288427	0.00004204	0.98711573	0.00004204	
4.4	0.98677507	0.01318092	0.00004402	0.98681908	0.00004402	
4.5	0.98647654	0.01347743	0.00004603	0.98652257	0.00004603	
4.6	0.98617811	0.0137738	0.00004809	0.9862262	0.00004809	
4.7	0.98587976	0.01407004	0.0000502	0.98592996	0.0000502	
4.8	0.98558151	0.01436614	0.00005235	0.98563386	0.00005235	
4.9	0.98528334	0.01466211	0.00005455	0.98533789	0.00005455	
5	0.98498527	0.01495794	0.00005679	0.98504206	0.00005679	
5.1	0.98468729	0.01525364	0.00005907	0.98474636	0.00005907	
5.2	0.98438939	0.01554921	0.0000614	0.98445079	0.0000614	
5.3	0.98409159	0.01584463	0.00006378	0.98415537	0.00006378	
5.4	0.98379388	0.01613993	0.0000662	0.98386007	0.0000662	
5.5	0.98349625	0.01643509	0.00006866	0.98356491	0.00006866	
5.6	0.98319872	0.01673011	0.00007117	0.98326989	0.00007117	
5.7	0.98290128	0.017025	0.00007372	0.982975	0.00007372	
5.8	0.98260392	0.01731976	0.00007632	0.98268024	0.00007632	
5.9	0.98230666	0.01761438	0.00007896	0.98238562	0.00007896	
6	0.98200949	0.01790886	0.00008165	0.98209114	0.00008165	
6.1	0.9817124	0.01820322	0.00008438	0.98179678	0.00008438	
6.2	0.98141541	0.01849743	0.00008716	0.98150257	0.00008716	
6.3	0.9811185	0.01879152	0.00008998	0.98120848	0.00008998	
6.4	0.98082169	0.01908547	0.00009284	0.98091453	0.00009284	
6.5	0.98052497	0.01937928	0.00009575	0.98062072	0.00009575	
6.6	0.98022833	0.01967296	0.00009871	0.98032704	0.00009871	
6.7	0.97993179	0.01996651	0.00010171	0.98003349	0.00010171	
6.8	0.97963533	0.02025992	0.00010475	0.97974008	0.00010475	
6.9	0.97933897	0.0205532	0.00010784	0.9794468	0.00010784	
7	0.97904269	0.02084634	0.00011097	0.97915366	0.00011097	
7.1	0.97874651	0.02113935	0.00011414	0.97886065	0.00011414	
7.2	0.97845041	0.02143223	0.00011736	0.97856777	0.00011736	
7.3	0.9781544	0.02172497	0.00012063	0.97827503	0.00012063	
7.4	0.97785849	0.02201758	0.00012394	0.97798242	0.00012394	
7.5	0.97756266	0.02231005	0.00012729	0.97768995	0.00012729	
7.6	0.97726692	0.02260239	0.00013069	0.97739761	0.00013069	
7.7	0.97697127	0.0228946	0.00013413	0.9771054	0.00013413	
7.8	0.97667571	0.02318667	0.00013762	0.97681333	0.00013762	
7.9	0.97638024	0.02347861	0.00014115	0.97652139	0.00014115	
8	0.97608486	0.02377042	0.00014472	0.97622958	0.00014472	
8.1	0.97578957	0.02406209	0.00014834	0.97593791	0.00014834	
8.2	0.97549437	0.02435363	0.000152	0.97564637	0.000152	
8.3	0.97519926	0.02464504	0.00015571	0.97535496	0.00015571	
8.4	0.97490423	0.02493631	0.00015946	0.97506369	0.00015946	
8.5	0.9746093	0.02522745	0.00016325	0.97477255	0.00016325	
8.6	0.97431445	0.02551846	0.00016709	0.97448154	0.00016709	
8.7	0.9740197	0.02580933	0.00017097	0.97419067	0.00017097	
8.8	0.97372503	0.02610007	0.0001749	0.97389993	0.0001749	
8.9	0.97343045	0.02639068	0.00017887	0.97360932	0.00017887	
9	0.97313597	0.02668115	0.00018288	0.97331885	0.00018288	
9.1	0.97284157	0.02697149	0.00018694	0.97302851	0.00018694	
9.2	0.97254726	0.0272617	0.00019104	0.9727383	0.00019104	
9.3	0.97225304	0.02755177	0.00019519	0.97244823	0.00019519	
9.4	0.9719589	0.02784171	0.00019938	0.97215829	0.00019938	
9.5	0.97166486	0.02813152	0.00020362	0.97186848	0.00020362	
9.6	0.97137091	0.0284212	0.00020789	0.9715788	0.00020789	
9.7	0.97107704	0.02871074	0.00021221	0.97128926	0.00021221	
9.8	0.97078327	0.02900015	0.00021658	0.97099985	0.00021658	
9.9	0.97048958	0.02928943	0.00022099	0.97071057	0.00022099	
10	0.97019598	0.02957858	0.00022544	0.97042142	0.00022544	
10.1	0.96990247	0.02986759	0.00022994	0.97013241	0.00022994	
10.2	0.96960905	0.03015647	0.00023448	0.96984353	0.00023448	
10.3	0.96931572	0.03044522	0.00023906	0.96955478	0.00023906	
10.4	0.96902247	0.03073383	0.00024369	0.96926617	0.00024369	
10.5	0.96872932	0.03102232	0.00024836	0.96897768	0.00024836	
10.6	0.96843625	0.03131067	0.00025308	0.96868933	0.00025308	
10.7	0.96814328	0.03159889	0.00025784	0.96840111	0.00025784	
10.8	0.96785039	0.03188697	0.00026264	0.96811303	0.00026264	
10.9	0.96755759	0.03217493	0.00026748	0.96782507	0.00026748	
11	0.96726488	0.03246275	0.00027237	0.96753725	0.00027237	
11.1	0.96697225	0.03275044	0.00027731	0.96724956	0.00027731	
11.2	0.96667972	0.033038	0.00028228	0.966962	0.00028228	
11.3	0.96638727	0.03332542	0.0002873	0.96667458	0.0002873	
11.4	0.96609492	0.03361272	0.00029237	0.96638728	0.00029237	
11.5	0.96580265	0.03389988	0.00029747	0.96610012	0.00029747	
11.6	0.96551047	0.03418691	0.00030262	0.96581309	0.00030262	
11.7	0.96521838	0.03447381	0.00030782	0.96552619	0.00030782	
11.8	0.96492637	0.03476057	0.00031305	0.96523943	0.00031305	
11.9	0.96463446	0.03504721	0.00031833	0.96495279	0.00031833	
12	0.96434263	0.03533371	0.00032366	0.96466629	0.00032366	
12.1	0.96405089	0.03562008	0.00032903	0.96437992	0.00032903	
12.2	0.96375924	0.03590632	0.00033444	0.96409368	0.00033444	
12.3	0.96346768	0.03619243	0.00033989	0.96380757	0.00033989	
12.4	0.9631762	0.03647841	0.00034539	0.96352159	0.00034539	
12.5	0.96288482	0.03676426	0.00035093	0.96323574	0.00035093	
12.6	0.96259352	0.03704997	0.00035651	0.96295003	0.00035651	
12.7	0.96230231	0.03733555	0.00036214	0.96266445	0.00036214	
12.8	0.96201119	0.037621	0.00036781	0.962379	0.00036781	
12.9	0.96172015	0.03790632	0.00037352	0.96209368	0.00037352	
13	0.96142921	0.03819151	0.00037928	0.96180849	0.00037928	
13.1	0.96113835	0.03847657	0.00038508	0.96152343	0.00038508	
13.2	0.96084758	0.0387615	0.00039092	0.9612385	0.00039092	
13.3	0.9605569	0.03904629	0.0003968	0.96095371	0.0003968	
13.4	0.96026631	0.03933096	0.00040273	0.96066904	0.00040273	
13.5	0.9599758	0.03961549	0.0004087	0.96038451	0.0004087	
13.6	0.95968538	0.0398999	0.00041472	0.9601001	0.00041472	
13.7	0.95939505	0.04018417	0.00042078	0.95981583	0.00042078	
13.8	0.95910481	0.04046831	0.00042688	0.95953169	0.00042688	
13.9	0.95881466	0.04075232	0.00043302	0.95924768	0.00043302	
14	0.95852459	0.0410362	0.00043921	0.9589638	0.00043921	
14.1	0.95823461	0.04131995	0.00044544	0.95868005	0.00044544	
14.2	0.95794472	0.04160357	0.00045171	0.95839643	0.00045171	
14.3	0.95765492	0.04188705	0.00045803	0.95811295	0.00045803	
14.4	0.9573652	0.04217041	0.00046438	0.95782959	0.00046438	
14.5	0.95707558	0.04245364	0.00047079	0.95754636	0.00047079	
14.6	0.95678603	0.04273674	0.00047723	0.95726326	0.00047723	
14.7	0.95649658	0.0430197	0.00048372	0.9569803	0.00048372	
14.8	0.95620722	0.04330254	0.00049025	0.95669746	0.00049025	
14.9	0.95591794	0.04358524	0.00049682	0.95641476	0.00049682	
15	0.95562875	0.04386782	0.00050343	0.95613218	0.00050343	
15.1	0.95533965	0.04415026	0.00051009	0.95584974	0.00051009	
15.2	0.95505063	0.04443258	0.00051679	0.95556742	0.00051679	
15.3	0.9547617	0.04471476	0.00052354	0.95528524	0.00052354	
15.4	0.95447286	0.04499681	0.00053032	0.95500319	0.00053032	
15.5	0.95418411	0.04527874	0.00053715	0.95472126	0.00053715	
15.6	0.95389544	0.04556053	0.00054402	0.95443947	0.00054402	
15.7	0.95360687	0.0458422	0.00055094	0.9541578	0.00055094	
15.8	0.95331838	0.04612373	0.00055789	0.95387627	0.00055789	
15.9	0.95302997	0.04640514	0.00056489	0.95359486	0.00056489	
16	0.95274166	0.04668641	0.00057193	0.95331359	0.00057193	
16.1	0.95245343	0.04696756	0.00057902	0.95303244	0.00057902	
16.2	0.95216528	0.04724857	0.00058614	0.95275143	0.00058614	
16.3	0.95187723	0.04752946	0.00059331	0.95247054	0.00059331	
16.4	0.95158926	0.04781021	0.00060053	0.95218979	0.00060053	
16.5	0.95130138	0.04809084	0.00060778	0.95190916	0.00060778	
16.6	0.95101359	0.04837134	0.00061508	0.95162866	0.00061508	
16.7	0.95072588	0.0486517	0.00062242	0.9513483	0.00062242	
16.8	0.95043826	0.04893194	0.0006298	0.95106806	0.0006298	
16.9	0.95015073	0.04921205	0.00063722	0.95078795	0.00063722	
17	0.94986328	0.04949203	0.00064469	0.95050797	0.00064469	
17.1	0.94957593	0.04977188	0.0006522	0.95022812	0.0006522	
17.2	0.94928865	0.0500516	0.00065975	0.9499484	0.00065975	
17.3	0.94900147	0.05033119	0.00066734	0.94966881	0.00066734	
17.4	0.94871437	0.05061065	0.00067498	0.94938935	0.00067498	
17.5	0.94842736	0.05088999	0.00068265	0.94911001	0.00068265	
17.6	0.94814044	0.05116919	0.00069037	0.94883081	0.00069037	
17.7	0.9478536	0.05144826	0.00069814	0.94855174	0.00069814	
17.8	0.94756685	0.05172721	0.00070594	0.94827279	0.00070594	
17.9	0.94728019	0.05200603	0.00071379	0.94799397	0.00071379	
18	0.94699361	0.05228472	0.00072168	0.94771528	0.00072168	
18.1	0.94670712	0.05256327	0.00072961	0.94743673	0.00072961	
18.2	0.94642071	0.0528417	0.00073758	0.9471583	0.00073758	
18.3	0.9461344	0.05312001	0.0007456	0.94687999	0.0007456	
18.4	0.94584817	0.05339818	0.00075365	0.94660182	0.00075365	
18.5	0.94556202	0.05367622	0.00076175	0.94632378	0.00076175	
18.6	0.94527597	0.05395414	0.00076989	0.94604586	0.00076989	
18.7	0.94499	0.05423193	0.00077808	0.94576807	0.00077808	
18.8	0.94470411	0.05450959	0.0007863	0.94549041	0.0007863	
18.9	0.94441831	0.05478712	0.00079457	0.94521288	0.00079457	
19	0.9441326	0.05506452	0.00080288	0.94493548	0.00080288	
19.1	0.94384698	0.05534179	0.00081123	0.94465821	0.00081123	
19.2	0.94356144	0.05561894	0.00081962	0.94438106	0.00081962	
19.3	0.94327599	0.05589595	0.00082806	0.94410405	0.00082806	
19.4	0.94299062	0.05617284	0.00083654	0.94382716	0.00083654	
19.5	0.94270534	0.0564496	0.00084506	0.9435504	0.00084506	
19.6	0.94242015	0.05672623	0.00085362	0.94327377	0.00085362	
19.7	0.94213504	0.05700274	0.00086222	0.94299726	0.00086222	
19.8	0.94185002	0.05727911	0.00087086	0.94272089	0.00087086	
19.9	0.94156509	0.05755536	0.00087955	0.94244464	0.00087955	
20	0.94128024	0.05783148	0.00088828	0.94216852	0.00088828	
20.1	0.94099548	0.05810747	0.00089705	0.94189253	0.00089705	
20.2	0.9407108	0.05838334	0.00090586	0.94161666	0.00090586	
20.3	0.94042621	0.05865907	0.00091471	0.94134093	0.00091471	
20.4	0.94014171	0.05893468	0.00092361	0.94106532	0.00092361	
20.5	0.93985729	0.05921016	0.00093255	0.94078984	0.00093255	
20.6	0.93957296	0.05948551	0.00094153	0.94051449	0.00094153	
20.7	0.93928872	0.05976074	0.00095055	0.94023926	0.00095055	
20.8	0.93900456	0.06003584	0.00095961	0.93996416	0.00095961	
20.9	0.93872048	0.06031081	0.00096871	0.93968919	0.00096871	
21	0.9384365	0.06058565	0.00097786	0.93941435	0.00097786	
21.1	0.93815259	0.06086036	0.00098704	0.93913964	0.00098704	
21.2	0.93786878	0.06113495	0.00099627	0.93886505	0.00099627	
21.3	0.93758505	0.06140941	0.00100554	0.93859059	0.00100554	
21.4	0.93730141	0.06168374	0.00101485	0.93831626	0.00101485	
21.5	0.93701785	0.06195795	0.0010242	0.93804205	0.0010242	
21.6	0.93673437	0.06223203	0.0010336	0.93776797	0.0010336	
21.7	0.93645099	0.06250598	0.00104303	0.93749402	0.00104303	
21.8	0.93616769	0.0627798	0.00105251	0.9372202	0.00105251	
21.9	0.93588447	0.0630535	0.00106203	0.9369465	0.00106203	
22	0.93560134	0.06332707	0.00107159	0.93667293	0.00107159	
22.1	0.9353183	0.06360051	0.00108119	0.93639949	0.00108119	
22.2	0.93503534	0.06387383	0.00109083	0.93612617	0.00109083	
22.3	0.93475247	0.06414702	0.00110052	0.93585298	0.00110052	
22.4	0.93446968	0.06442008	0.00111024	0.93557992	0.00111024	
22.5	0.93418698	0.06469301	0.00112001	0.93530699	0.00112001	
22.6	0.93390436	0.06496582	0.00112982	0.93503418	0.00112982	
22.7	0.93362183	0.0652385	0.00113966	0.9347615	0.00113966	
22.8	0.93333939	0.06551106	0.00114955	0.93448894	0.00114955	
22.9	0.93305703	0.06578349	0.00115949	0.93421651	0.00115949	
23	0.93277475	0.06605579	0.00116946	0.93394421	0.00116946	
